hs1	47554	47702	hs2	12964	13112
hs1	47709	47863	hs2	16677	16831
hs1	43768	43960	hs2	12642	12834
hs1	7966	7772	hs2	6695	6889
hs1	13272	13066	hs2	58	264
hs1	19204	18989	hs2	49	264
hs1	11315	11090	hs2	271	496
hs1	7775	7530	hs2	7295	7538
hs1	48004	48262	hs2	16910	17168
hs1	49470	49759	hs2	18016	18299
hs1	3727	4008	hs2	22086	22376
hs1	48639	48991	hs2	17443	17793
hs1	43317	43683	hs2	12148	12500
hs1	45915	46274	hs2	14788	15144
hs1	11090	10716	hs2	1861	2234
hs1	43962	44507	hs2	12892	13437
hs1	5302	5855	hs2	23485	24044
hs1	9714	9124	hs2	3489	4079
hs1	1	641	hs2	18302	18906
hs1	704	1437	hs2	18925	19669
hs1	4361	5248	hs2	22596	23475
hs1	46474	47409	hs2	15456	16379
hs1	44604	45702	hs2	13508	14633
hs1	1907	3688	hs2	20188	21984
hs1	40970	40855	hs3	1878	1993
hs1	22202	22004	hs3	35797	35995
hs1	31338	31130	hs3	26408	26621
hs1	31538	31323	hs3	25124	25339
hs1	27389	27613	hs3	18330	18554
hs1	11364	11588	hs3	2019	2251
hs1	37632	37367	hs3	13312	13577
hs1	31815	31537	hs3	23754	24032
hs1	32086	31811	hs3	21906	22185
hs1	6583	6212	hs3	45208	45584
hs1	22724	22330	hs3	33225	33619
hs1	26618	26196	hs3	32091	32513
hs1	42529	42106	hs3	385	811
hs1	20739	20296	hs3	42694	43137
hs1	21937	21461	hs3	36104	36580
hs1	40855	40378	hs3	3383	3860
hs1	21460	20969	hs3	37949	38440
hs1	30394	29625	hs3	27269	28035
hs1	27613	26614	hs3	29578	30576
hs1	41985	40950	hs3	817	1822
hs1	23214	24317	hs3	20527	21620
hs1	40348	38199	hs3	9527	11697
hs1	37194	32551	hs3	13675	18326
